名言,作者,类别
无知者比有知者更自信。只有无知者才会自信地断言，科学永远不能解决任何问题（英国）达尔文,。只有无知者才会自信地断言（英国）达尔文,
任何人都应该有自尊心自信心独立性，不然就是奴才。但自尊不是轻人，自信不是自满，独立不是孤立。徐特立,。但自尊不是轻人徐特立,
有自信心的人，可以化渺小为伟大，化平庸为神奇。,萧伯纳,
自尊不是轻人，自信不是自满，独立不是孤立。,徐特立,
他们一旦进入社会，与人交接，一方面固然可以增加知识和自信，同时也容易使他们失去他们的德行；所以他们对于德行是不能不在事先多如准备，使它深深固定在他们身上的。,洛克,
清理古代文化的发展过程，剔除斯对封建性的糟粕，吸收其民主性的精华，是发展民族新文化提高民族自信心的必在条件,毛泽东,
承担重任首先需要自信。,佚名,
养成我们性格的原因还有我们的自信心，我们坚信这样一句名言天生我才必有用。今天我常想这样一个问题如果从孩提时代起就培养孩子们对家庭的和幸福的责任感，使他们认识到自己也是家中的劳动者贡献者，是一个有用的人，那么，他们一旦走上社会，就能够主动地发挥创造性的才干，为国家做出贡献。艾森豪华威尔,。今天我常想这样一个问题艾森豪华威尔,
要在座的人都停止了说话的时候，有了机会，方才可以谦逊地把问题提出，向人学习。,约翰·洛克,
大学是人生的关键阶段。这是因为，这是你一生中最后一次有机会系统性地接受教育。这是你最后一次能够全心建立你的知识基础。这可能是你最后一次可以将大段时间用于学习的人生阶段，也可能是最后一次可以拥有较高的可塑性集中精力充实自我的成长历程。这也许是你最后一次能在相对宽容的，可以置身其中学习为人处世之道的理想环境。李开复,。这是因为。这是你最后一次能够全心建立你的知识基础。这可能是你最后一次可以将大段时间用于学习的人生阶段。这也许是你最后一次能在相对宽容的李开复,
敢于向一切国家的长处学习就是最有自信心和自尊心的表现这样的民族也一定是能够自强的民族。,周恩来,
学习如果想有成效，就必须专心。学习本身是一件艰苦的事，只有付出艰苦的劳动，才会有相应的收获。谷超豪,。学习本身是一件艰苦的事谷超豪,
对所学知识内容的兴趣可能成为学习动机。,赞科夫,
我们全都要从前辈和同辈学习到一些东西。就连最大的天才，如果想单凭他所特有的内在自我去对付一切，他也决不会有多大成就。歌德,。就连最大的天才歌德,
读书是学习，使用也是学习，而且是更重要的学习。,毛泽东,
当你感到悲哀痛苦时，最好是去学些什么东西。学习会使你永远立于不败之地。佚名,。学习会使你永远立于不败之地佚名,
成功的人是跟别人学习经验，失败的人只跟自己学习经验。,佚名,
成功需要改变，用新的方法改变过去的结果。,,
积极向上是所有成功者的特质。,,
要成功，先发疯，头脑简单向前冲。,,
要成功，先研究成功学。,,
要不断的请教成功者，学习他们成功的方法。,,
成功是靠别人，不是靠自己,,
书本也是好老师，活用才能成功。,,
行动才能成功，教练改变人生。,,
过去不等于未来；没有失败，只有暂时停止成功；采取更大量的行动。,,
成功的秘诀是努力，所有的第一名都是练出来的。,,
成功者怎么做，我就怎么做。,,
